"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.000412795","0.000440765","0.000382614","0.000436969","0.000431741","0.000442528","0.000461094","0.000544203","0.000373857","0.000597993","0.000633892","0.000560353","0.000645427","0.000734023","0.000552589"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.001134074","0.001462899","0.000776039","0.001196527","0.001503354","0.000868875","0.001345127","0.001756873","0.000913425","0.001576378","0.00215692","0.000968855","0.002249362","0.003084234","0.00137698"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.00150459","0.002128563","0.000822442","0.00166719","0.002334756","0.000953315","0.001856216","0.002577882","0.00110333","0.002198833","0.00321372","0.001158255","0.003076796","0.004526826","0.001573889"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.001698157","0.002261149","0.00108491","0.00195105","0.002678576","0.001179594","0.002222189","0.003146563","0.001276251","0.00229811","0.003349059","0.001231141","0.002895857","0.004140257","0.001599254"
"nqx - probability of dying between ages x and x+n"," 30-34 years","0.002521034","0.003211624","0.001782118","0.002715791","0.003613785","0.00178646","0.002667818","0.003648737","0.001673069","0.002903472","0.003921576","0.001848338","0.003527511","0.004776754","0.00221795"
"nqx - probability of dying between ages x and x+n"," 35-39 years","0.003707511","0.0047863","0.002587811","0.003710591","0.004869313","0.002533146","0.003935798","0.00515796","0.00267438","0.004275513","0.005550189","0.002943583","0.005406088","0.007067859","0.003664211"
"nqx - probability of dying between ages x and x+n"," 40-44 years","0.00567035","0.007298755","0.004014795","0.005964528","0.007658332","0.004234146","0.006364797","0.008059229","0.004603904","0.007619528","0.009807716","0.00533433","0.009353471","0.01227381","0.006306876"
"nqx - probability of dying between ages x and x+n"," 45-49 years","0.009417359","0.011818328","0.006977269","0.010068778","0.012797404","0.007268571","0.011187076","0.014250908","0.00800588","0.013317065","0.017246988","0.009242699","0.014916496","0.019599371","0.010142922"
"nqx - probability of dying between ages x and x+n"," 50-54 years","0.015953406","0.020566998","0.011274292","0.017385664","0.022273799","0.012375257","0.019455515","0.025186981","0.013565408","0.021144341","0.027973104","0.014250838","0.022326836","0.029147898","0.01528919"
"nqx - probability of dying between ages x and x+n"," 55-59 years","0.02705787","0.034960024","0.019127861","0.028988425","0.037953093","0.01993092","0.029835313","0.039792893","0.019943327","0.031281978","0.041161656","0.02124501","0.034377418","0.046107658","0.022477318"
"nqx - probability of dying between ages x and x+n"," 60-64 years","0.044897805","0.058541155","0.031609602","0.045158393","0.059741199","0.031018928","0.044403423","0.05830453","0.030599084","0.047106135","0.062891815","0.031487971","0.051424347","0.070176942","0.03318255"
"nqx - probability of dying between ages x and x+n"," 65-69 years","0.066169886","0.086777693","0.047063477","0.065852391","0.085694236","0.046837411","0.066065636","0.087758748","0.045293227","0.069564681","0.094313147","0.046477719","0.083100126","0.11364078","0.055035093"
"nqx - probability of dying between ages x and x+n"," 70-74 years","0.099994342","0.127107661","0.075434554","0.099565921","0.129132308","0.072773808","0.098940984","0.130576521","0.070967556","0.113195273","0.150380306","0.081274871","0.128922469","0.173839752","0.094176132"
"nqx - probability of dying between ages x and x+n"," 75-79 years","0.146646418","0.18760994","0.112076101","0.153970341","0.194571998","0.120889379","0.169125821","0.213537753","0.134013921","0.183938627","0.237311654","0.146509614","0.200045816","0.263804094","0.166114025"
"nqx - probability of dying between ages x and x+n"," 80-84 years","0.252962031","0.302989961","0.215419281","0.273488175","0.328114444","0.235097085","0.284260537","0.341330251","0.248739941","0.299928191","0.367188532","0.268768136","0.316407104","0.394273224","0.28225656"
"nqx - probability of dying between ages x and x+n"," 85+ years","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"lx - number of people left alive at age x"," &lt;1 year","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x"," 1-4 years","99697.78187","99672.73104","99724.13311","99671.78805","99655.24048","99689.18902","99655.1958","99625.20157","99686.8415","99613.60367","99569.51431","99660.07607","99564.30492","99516.28541","99615.00459"
"lx - number of people left alive at age x"," 5-9 years","99641.75549","99612.27899","99672.7758","99606.0947","99583.8198","99629.5343","99584.90192","99551.05564","99620.60483","99531.44787","99479.46136","99586.2296","99468.20655","99409.55192","99530.11781"
"lx - number of people left alive at age x"," 10-14 years","99603.35789","99570.8665","99637.59124","99570.76436","99544.22086","99598.72528","99541.34344","99504.42415","99580.2772","99477.75348","99422.27828","99536.20079","99411.3895","99344.5467","99481.91131"
"lx - number of people left alive at age x"," 15-19  years","99562.24209","99526.97918","99599.46846","99527.25501","99501.24352","99554.65006","99495.44557","99450.27351","99543.04838","99418.2665","99359.25526","99480.42534","99347.22669","99271.62551","99426.9387"
"lx - number of people left alive at age x"," 20-24 years","99449.33117","99381.38124","99522.17539","99408.16799","99351.65794","99468.14953","99361.61154","99275.55199","99452.12331","99261.54576","99144.94527","99384.04325","99123.75881","98965.44858","99290.02979"
"lx - number of people left alive at age x"," 25-29 years","99299.70065","99169.84168","99440.32413","99242.43568","99119.69604","99373.32504","99177.17493","99019.63135","99342.39476","99043.28623","98826.32121","99268.93123","98818.77525","98517.44918","99133.75835"
"lx - number of people left alive at age x"," 30-34 years","99131.07417","98945.60385","99332.44031","99048.80868","98854.19638","99256.10488","98956.78455","98708.05982","99215.60891","98815.67384","98495.34604","99146.71717","98532.61024","98109.56162","98975.21828"
"lx - number of people left alive at age x"," 35-39 years","98881.16133","98627.82782","99155.41814","98779.81279","98496.95853","99078.7878","98692.78587","98347.90008","99049.61436","98528.7653","98109.0891","98963.46048","98185.03536","97640.91641","98755.69621"
"lx - number of people left alive at age x"," 40-44 years","98514.55835","98155.76543","98898.82267","98413.28126","98017.34604","98827.80674","98304.35105","97840.62557","98784.71809","98107.5043","97564.56509","98672.15329","97654.23841","96950.80416","98393.83453"
"lx - number of people left alive at age x"," 45-49 years","97955.94632","97439.35054","98501.76415","97826.29248","97266.69664","98409.35537","97678.66385","97052.1056","98329.92276","97359.97146","96607.67959","98145.80347","96740.83236","95760.84844","97773.27684"
"lx - number of people left alive at age x"," 50-54 years","97033.45998","96287.78031","97814.49083","96841.30122","96021.93542","97694.05995","96585.92519","95669.02494","97542.70516","96063.42243","94941.48812","97238.67132","95297.79816","93883.99606","96781.57011"
"lx - number of people left alive at age x"," 55-59 years","95485.44581","94307.4297","96711.70174","95157.65093","93883.16211","96485.07088","94706.79627","93259.41101","96219.49853","94032.2247","92285.67999","95852.93873","93170.09986","91147.4749","95301.85834"
"lx - number of people left alive at age x"," 60-64 years","92901.81305","91010.43968","94861.81379","92399.18053","90320.00568","94562.03467","91881.18934","89548.34923","94300.56159","91090.71073","88487.04853","93816.54208","89967.15235","86944.87834","93159.72812"
"lx - number of people left alive at age x"," 65-69 years","88730.72554","85682.58343","91863.26958","88226.58203","84924.18021","91628.82173","87801.35003","84327.27486","91415.05079","86799.7794","82921.93746","90862.44956","85340.6503","80843.35263","90068.45076"
"lx - number of people left alive at age x"," 70-74 years","82859.42357","78247.24649","87539.86472","82416.65064","77646.6675","87337.16499","82000.69799","76926.81883","87274.56816","80761.58044","75101.3086","86639.37018","78248.8315","71656.25099","85111.52515"
"lx - number of people left alive at age x"," 75-79 years","74573.94999","68301.42203","80936.33411","74210.76087","67619.9741","80981.30689","73887.46825","66881.98243","81080.90536","71619.75132","63807.55081","79597.76651","68160.79893","59199.54609","77096.05093"
"lx - number of people left alive at age x"," 80-84 years","63637.94732","55487.39636","71865.30538","62784.50471","54463.02061","71191.52702","61391.18949","52600.15416","70214.93528","58446.11261","48665.27541","67935.92843","54525.51631","43582.46346","64289.31557"
"lx - number of people left alive at age x"," 85+ years","47539.96293","38675.27228","56384.13299","45613.68511","36592.91689","54454.60655","43940.09701","34646.13036","52749.67639","40916.47577","30795.94435","49676.91556","37273.25563","26399.06508","46143.2345"
"ndx - number of people dying between ages x and x+n"," &lt;1 year","302.2181275","327.2689587","275.8668899","328.2119515","344.7595176","310.8109789","344.8042042","374.7984314","313.1585015","386.3963257","430.4856888","339.9239296","435.6950794","483.7145859","384.9954139"
"ndx - number of people dying between ages x and x+n"," 1-4 years","56.02638485","60.45204752","51.35730767","65.69335249","71.42068061","59.65472391","70.29387306","74.14592607","66.23667235","82.15580414","90.05295042","73.8464706","96.09836913","106.7334903","84.88678035"
"ndx - number of people dying between ages x and x+n"," 5-9 years","38.39759453","41.41249255","35.18456136","35.33033528","39.59894609","30.8090194","43.55848048","46.63149379","40.32762967","53.69439494","57.18307946","50.02881207","56.81704933","65.00522627","48.20649654"
"ndx - number of people dying between ages x and x+n"," 10-14 years","41.11580089","43.88732346","38.12277852","43.50934795","42.97733577","44.07521291","45.89787248","54.15064044","37.22881933","59.48697527","63.02302118","55.77544868","64.16280855","72.92118266","54.9726132"
"ndx - number of people dying between ages x and x+n"," 15-19  years","112.9109235","145.5979385","77.29307659","119.0870222","149.5855835","86.50053678","133.8340279","174.7215159","90.92506447","156.7207449","214.3099901","96.38208559","223.467887","306.1769332","136.9089072"
"ndx - number of people dying between ages x and x+n"," 20-24 years","149.6305155","211.5395593","81.85125209","165.7323098","231.9619012","94.82448677","184.4366137","255.9206428","109.7285556","218.2595214","318.6240639","115.1120276","304.9835614","447.9994066","156.2714387"
"ndx - number of people dying between ages x and x+n"," 25-29 years","168.6264873","224.2378264","107.883827","193.6269989","265.4996579","117.2201609","220.3903777","311.5715342","126.7858459","227.6123945","330.9751687","122.2140568","286.16501","407.8875516","158.5400744"
"ndx - number of people dying between ages x and x+n"," 30-34 years","249.9128322","317.7760313","177.0221696","268.9958906","357.2378511","177.3170803","263.9986784","360.1597342","165.99455","286.9085371","386.2569415","183.2566909","347.5748737","468.6452088","219.5220654"
"ndx - number of people dying between ages x and x+n"," 35-39 years","366.6029885","472.0623956","256.5954644","366.5315288","479.6124898","250.981059","388.4348249","507.2745106","264.8962667","421.2610013","544.5240082","291.3071871","530.7969499","690.112259","361.8616793"
"ndx - number of people dying between ages x and x+n"," 40-44 years","558.6120237","716.4148875","397.0585255","586.98878","750.6493949","418.4513681","625.6871999","788.5199664","454.7953301","747.5328409","956.8854992","526.349824","913.4060486","1189.955713","620.5576944"
"ndx - number of people dying between ages x and x+n"," 45-49 years","922.4863428","1151.570231","687.2733201","984.9912628","1244.761219","715.2954271","1092.738657","1383.080667","787.2176022","1296.549027","1666.191467","907.1321469","1443.034207","1876.852381","991.7067236"
"ndx - number of people dying between ages x and x+n"," 50-54 years","1548.014172","1980.350606","1102.789091","1683.650289","2138.773316","1208.98907","1879.128921","2409.613925","1323.206636","2031.197735","2655.808134","1385.732592","2127.6983","2736.521163","1479.711778"
"ndx - number of people dying between ages x and x+n"," 55-59 years","2583.63276","3296.990025","1849.887947","2758.470396","3563.156423","1923.036202","2825.606925","3711.061778","1918.936932","2941.513964","3798.631455","2036.396646","3202.94751","4202.596557","2142.130211"
"ndx - number of people dying between ages x and x+n"," 60-64 years","4171.087504","5327.856251","2998.544208","4172.598506","5395.825475","2933.212946","4079.839315","5221.074376","2885.510805","4290.931339","5565.111067","2954.092517","4626.502044","6101.525713","3091.277368"
"ndx - number of people dying between ages x and x+n"," 65-69 years","5871.301978","7435.336935","4323.404864","5809.931392","7277.512708","4291.656741","5800.652043","7400.456028","4140.482633","6038.19896","7820.628869","4223.079385","7091.818806","9187.101637","4956.925607"
"ndx - number of people dying between ages x and x+n"," 70-74 years","8285.473578","9945.824459","6603.530613","8205.889765","10026.6934","6355.858092","8113.229738","10044.8364","6193.662795","9141.829118","11293.75778","7041.60367","10088.03257","12456.7049","8015.474216"
"ndx - number of people dying between ages x and x+n"," 75-79 years","10936.00267","12814.02567","9071.028722","11426.25616","13156.9535","9789.779878","12496.27876","14281.82827","10865.97008","13173.63871","15142.2754","11661.83808","13635.28261","15617.08263","12806.73536"
"ndx - number of people dying between ages x and x+n"," 80-84 years","16097.98438","16812.12407","15481.17239","17170.8196","17870.10372","16736.92047","17451.09249","17954.0238","17465.25889","17529.63684","17869.33106","18259.01287","17252.26069","17183.39838","18146.08108"
"ndx - number of people dying between ages x and x+n"," 85+ years","47539.96293","38675.27228","56384.13299","45613.68511","36592.91689","54454.60655","43940.09701","34646.13036","52749.67639","40916.47577","30795.94435","49676.91556","37273.25563","26399.06508","46143.2345"
"nLx - person-years lived between ages x and x+n"," &lt;1 year","99728.00369","99705.45794","99751.7198","99704.60924","99689.71643","99720.27012","99689.67622","99662.68141","99718.15735","99652.24331","99612.56288","99694.06846","99607.87443","99564.65687","99653.50413"
"nLx - person-years lived between ages x and x+n"," 1-4 years","398656.6642","398545.8393","398773.2749","398529.4881","398449.5523","398613.5847","398452.0779","398322.8561","398588.398","398257.2408","398061.9302","398463.0728","398026.5836","397808.9813","398256.2901"
"nLx - person-years lived between ages x and x+n"," 5-9 years","498112.7835","497957.8637","498275.9176","497942.1476","497820.1016","498070.6489","497815.6134","497638.6995","498002.2051","497523.0034","497254.3491","497806.076","497198.9901","496885.2466","497530.0728"
"nLx - person-years lived between ages x and x+n"," 10-14 years","497914","497744.6142","498092.6493","497745.0484","497613.6609","497883.4384","497591.9725","497386.7441","497808.3139","497240.0499","496953.8339","497541.5653","496896.5405","496540.4305","497272.125"
"nLx - person-years lived between ages x and x+n"," 15-19  years","497528.9332","497270.901","497804.1096","497338.5575","497132.2536","497556.999","497142.6428","496814.5638","497487.9292","496699.5306","496260.5013","497161.1715","496177.4638","495592.6852","496792.4212"
"nLx - person-years lived between ages x and x+n"," 20-24 years","496872.5796","496378.0573","497406.2488","496626.5092","496178.3849","497103.6864","496346.9662","495737.9584","496986.2952","495762.08","494928.1662","496632.4362","494856.3351","493707.2444","496059.4703"
"nLx - person-years lived between ages x and x+n"," 25-29 years","496076.937","495288.6138","496931.9111","495728.1109","494934.731","496573.5748","495334.8987","494319.2279","496395.0092","494647.4002","493304.1681","496039.121","493378.4637","491567.527","495272.4416"
"nLx - person-years lived between ages x and x+n"," 30-34 years","495030.5887","493933.5792","496219.6461","494571.5537","493377.8873","495837.2317","494123.9261","492639.8997","495663.0582","493361.0979","491511.0878","495275.4441","491794.114","489376.1951","494327.2862"
"nLx - person-years lived between ages x and x+n"," 35-39 years","493489.2992","491958.9831","495135.602","492982.7351","491285.7614","494766.4864","492492.8423","490471.3141","494585.8311","491590.674","489184.1355","494089.0344","489598.1844","486479.3014","492873.8269"
"nLx - person-years lived between ages x and x+n"," 40-44 years","491176.2617","488987.7899","493501.4671","490598.9344","488210.1067","493092.9053","489957.5372","487231.8279","492786.6021","488668.6894","485430.6117","492044.8919","485987.6769","481779.1315","490417.7784"
"nLx - person-years lived between ages x and x+n"," 45-49 years","487473.5158","484317.8271","490790.6374","486668.9843","483221.5802","490258.5383","485661.4726","481802.8264","489681.5698","483558.4847","478872.9193","488461.187","480096.5763","474112.1113","486387.1174"
"nLx - person-years lived between ages x and x+n"," 50-54 years","481297.2645","476488.025","486315.4814","479997.3804","474762.7438","485447.8271","478231.8036","472321.0899","484405.5092","475239.1178","468067.9203","482729.0251","471169.745","462578.6774","480208.5711"
"nLx - person-years lived between ages x and x+n"," 55-59 years","470968.1471","463294.6734","478933.7888","468892.0787","460507.9195","477617.7639","466469.964","457019.4006","476300.1503","462807.3386","451931.8213","474173.702","457843.1305","445230.8831","471153.9661"
"nLx - person-years lived between ages x and x+n"," 60-64 years","454081.3465","441732.5578","466812.7084","451564.4064","438110.4647","465477.141","449206.3484","434689.0602","464289.031","444726.2253","428522.465","461697.4791","438269.5066","419470.5774","458070.4472"
"nLx - person-years lived between ages x and x+n"," 65-69 years","428975.3728","409824.5748","448507.8358","426608.0817","406427.1193","447414.9668","424505.12","403135.2342","446724.0474","418903.3996","395058.1151","443754.5494","408973.7045","381249.0091","437949.9398"
"nLx - person-years lived between ages x and x+n"," 70-74 years","393583.4339","366371.6713","421190.4971","391568.5288","363166.604","420796.1797","389720.4156","359522.0031","420888.6838","380953.3294","347272.1485","415592.8417","366024.0761","327139.4927","405518.9402"
"nLx - person-years lived between ages x and x+n"," 75-79 years","345529.7433","309472.046","382004.0987","342488.164","305207.4868","380432.0848","338196.6444","298705.3415","378239.6016","325164.6598","281182.0656","368834.2373","306715.7881","256955.0239","353463.4163"
"nLx - person-years lived between ages x and x+n"," 80-84 years","277944.7756","235406.6716","320623.5959","270995.4745","227639.8437","314115.3339","263328.2162","218115.7113","307411.5292","248406.4709","198653.0494","294032.11","229496.9298","174953.8213","276081.3752"
"nLx - person-years lived between ages x and x+n"," 85+ years","367812.0355","227341.3646","510057.4501","261622.64","197867.8949","320567.8185","262525.4653","202151.3384","317722.0955","226317.4517","164692.2651","277585.4403","207350.4213","133056.6605","264655.3866"
"Tx - person-years lived above age x"," &lt;1 year","8172251.685","7872021.111","8477128.64","8042173.433","7811603.813","8271346.48","8016793.604","7777687.779","8253684.017","7919478.487","7656754.116","8171607.453","7809462.105","7504047.656","8091944.377"
"Tx - person-years lived above age x"," 1-4 years","8072523.682","7772315.653","8377376.92","7942468.824","7711914.097","8171626.209","7917103.927","7678025.097","8153965.86","7819826.244","7557141.553","8071913.385","7709854.23","7404483","7992290.872"
"Tx - person-years lived above age x"," 5-9 years","7673867.018","7373769.814","7978603.645","7543939.336","7313464.544","7773012.625","7518651.849","7279702.241","7755377.462","7421569.003","7159079.623","7673450.312","7311827.647","7006674.018","7594034.582"
"Tx - person-years lived above age x"," 10-14 years","7175754.234","6875811.95","7480327.728","7045997.188","6815644.443","7274941.976","7020836.236","6782063.542","7257375.257","6924046","6661825.274","7175644.236","6814628.657","6509788.772","7096504.51"
"Tx - person-years lived above age x"," 15-19  years","6677840.234","6378067.336","6982235.078","6548252.139","6318030.782","6777058.537","6523244.264","6284676.797","6759566.943","6426805.95","6164871.44","6678102.671","6317732.116","6013248.341","6599232.385"
